real_name,pi_const1,pi_const2,pi_const3,pi_const4,pi_const5,pi_const6,pi_const7,pi_const8,pi_const9,pi_const10,pi_const11,pi_const12,pi_const13,pi_const14,pi_const15,pi_const16,pi_const17,pi_const18,pi_const19,pi_const20,pi_const21,pi_const22,pi_const23,pi_const24
gen=1_member=142_pso,43486.904957745733554,43486.904957745733554,48030.783651449819445,48030.783651449819445,47416.872536108436179,47416.872536108436179,28191.371099704319931,28191.371099704319931,43486.904957745733554,43486.904957745733554,48030.783651449819445,48030.783651449819445,47416.872536108436179,47416.872536108436179,28191.371099704319931,28191.371099704319931,128710.67075141453824,128710.67075141453824,560098.01615848962683,560098.01615848962683,587161.12844028871041,587161.12844028871041,28191.371099704319931,28191.371099704319931
gen=1_member=143_pso,31312.022233953706746,31312.022233953706746,26653.70825622958364,26653.70825622958364,50000,50000,49236.728756390621129,49236.728756390621129,31312.022233953706746,31312.022233953706746,26653.70825622958364,26653.70825622958364,50000,50000,49236.728756390621129,49236.728756390621129,195223.69279894165811,195223.69279894165811,617418.41476863273419,617418.41476863273419,681870.48186924960464,681870.48186924960464,910031.32248456613161,910031.32248456613161
gen=1_member=144_pso,41360.380603052333754,41360.380603052333754,40479.448411533339822,40479.448411533339822,51786.986523083796783,51786.986523083796783,44789.468553314647579,44789.468553314647579,41360.380603052333754,41360.380603052333754,40479.448411533339822,40479.448411533339822,51786.986523083796783,51786.986523083796783,44789.468553314647579,44789.468553314647579,704672.65070277650375,704672.65070277650375,168440.7251084317395,168440.7251084317395,707632.45038477343041,707632.45038477343041,44789.468553314647579,44789.468553314647579
gen=1_member=145_pso,72672.195389508357039,72672.195389508357039,82982.629412264301209,82982.629412264301209,82982.629412264301209,82982.629412264301209,71350.86084181474871,71350.86084181474871,72672.195389508357039,72672.195389508357039,82982.629412264301209,82982.629412264301209,82982.629412264301209,82982.629412264301209,71350.86084181474871,71350.86084181474871,116539.27178200901835,116539.27178200901835,303852.61032737069763,303852.61032737069763,82982.629412264301209,82982.629412264301209,71350.86084181474871,71350.86084181474871
gen=1_member=146_pso,48057.569559808442136,48057.569559808442136,49569.669000743873767,49569.669000743873767,38750.540507067547878,38750.540507067547878,39141.358748720143922,39141.358748720143922,48057.569559808442136,48057.569559808442136,49569.669000743873767,49569.669000743873767,38750.540507067547878,38750.540507067547878,39141.358748720143922,39141.358748720143922,48057.569559808442136,48057.569559808442136,49569.669000743873767,49569.669000743873767,38750.540507067547878,38750.540507067547878,39141.358748720143922,39141.358748720143922
gen=1_member=147_pso,16666.773167142295279,16666.773167142295279,105716.28381276763685,105716.28381276763685,66666.773167142295279,66666.773167142295279,60622.221441959714866,60622.221441959714866,16666.773167142295279,16666.773167142295279,105716.28381276763685,105716.28381276763685,66666.773167142295279,66666.773167142295279,60622.221441959714866,60622.221441959714866,378228.66922746528871,378228.66922746528871,216721.44729419716168,216721.44729419716168,203023.89102917799028,203023.89102917799028,60622.221441959714866,60622.221441959714866
gen=1_member=148_pso,44198.275746237384737,44198.275746237384737,27849.935164701862959,27849.935164701862959,26934.454404732532566,26934.454404732532566,51955.806698556611082,51955.806698556611082,44198.275746237384737,44198.275746237384737,27849.935164701862959,27849.935164701862959,26934.454404732532566,26934.454404732532566,51955.806698556611082,51955.806698556611082,133408.26923500734847,133408.26923500734847,545653.56064301927108,545653.56064301927108,468748.59516390203498,468748.59516390203498,51955.806698556611082,51955.806698556611082
gen=1_member=149_pso,47118.337245196860749,47118.337245196860749,92958.689872922986979,92958.689872922986979,63785.550342335634923,63785.550342335634923,44979.709781490120804,44979.709781490120804,47118.337245196860749,47118.337245196860749,92958.689872922986979,92958.689872922986979,63785.550342335634923,63785.550342335634923,44979.709781490120804,44979.709781490120804,372256.98821750987554,372256.98821750987554,578496.25740485813003,578496.25740485813003,237307.60118239480653,237307.60118239480653,44979.709781490120804,44979.709781490120804
gen=1_member=150_pso,66578.519206483892049,66578.519206483892049,48375.997665225819219,48375.997665225819219,47179.537302102980902,47179.537302102980902,51525.984129387703433,51525.984129387703433,66578.519206483892049,66578.519206483892049,48375.997665225819219,48375.997665225819219,47179.537302102980902,47179.537302102980902,51525.984129387703433,51525.984129387703433,505436.00776873424184,505436.00776873424184,394399.6176381521509,394399.6176381521509,161685.81515251946985,161685.81515251946985,51525.984129387703433,51525.984129387703433
gen=1_member=151_pso,54887.931984974879015,54887.931984974879015,43472.186930666677654,43472.186930666677654,71180.73156257296796,71180.73156257296796,88025.97406084103568,88025.97406084103568,54887.931984974879015,54887.931984974879015,43472.186930666677654,43472.186930666677654,71180.73156257296796,71180.73156257296796,88025.97406084103568,88025.97406084103568,54887.931984974879015,54887.931984974879015,648588.8979730589781,648588.8979730589781,761873.90115525003057,761873.90115525003057,88025.97406084103568,88025.97406084103568
